,name,nationality,total_eva_hrs,eva_colour
441,"Solovyev, Anatoly",Russia,78.8,#FF6A00
830,"Lopez-Alegria, Michael E.",United States,67.67,white
1176,"Feustel, Andrew J.",United States,61.8,white
1031,"Whitson, Peggy A.",United States,60.31,white
793,"Grunsfeld, John M.",United States,59.5,white
1041,"Yurchikhin, Fyodor",Russia,59.43,white
405,"Ross, Jerry L.",United States,58.53,white
1020,"Walheim, Rex J.",United States,56.73,white
975,"Mastracchio, Richard A.",United States,53.07,white
1090,"Williams, Sunita L.",United States,50.67,white
